I

740 Version - made by https://simbad.u-strasbg.fr/simbad/sim-fid from Hipparcos data, for J2025 epoch, 2025 equinox, V-band brightness, all stars down to mag 6.5

22.1178   -0.197  2.94 Sadalmelik
17.5630  -49.893  2.95 alf Ara
22.7363   30.353  2.95 Matar
 6.7578   25.104  2.98 Mebsuta
 9.7878   23.658  2.98 eps Leo
12.1902  -22.759  2.98 Minkar
16.8928  -38.088  2.98 Xamidimura
 5.0628   43.858  2.99 Almaaz
 6.3546  -30.076  2.99 Furud
 9.7954  -65.189  2.99 ups Car
17.8222  -40.134  2.99 iot01 Sco
18.1236  -30.421  2.99 Alnasl
19.1093   13.902  2.99 Okab
 2.1840   35.104  3.00 bet Tri
13.3381  -23.303  3.00 gam Hya
15.3451   71.745  3.00 Pherkad
 3.7453   47.865  3.01 del Per
11.1843   44.362  3.01 psi UMa
21.9239  -37.246  3.01 Aldhanab
 7.0678  -23.871  3.02 omi02 CMa
14.5514   38.200  3.02 Seginus
 5.6523   21.156  3.03 Tianguan
10.3968   41.373  3.05 Tania Australis
17.2631   14.364  3.06 Rasalgethi 
19.2092   67.706  3.07 Altais
17.0116  -56.027  3.08 zet Ara
19.5288   28.014  3.08 Albereo
20.3736  -14.701  3.08 Dabih Major
 8.9452    5.849  3.10 zet Hya
10.8477  -16.325  3.11 nu. Hya
15.0133  -42.203  3.11 kap Cen
18.3220  -36.752  3.11 eta Sgr
20.6552  -47.202  3.11 alf Ind
 5.8640  -35.760  3.12 Wazn
17.2677   24.811  3.13 Sarin
 9.0151   47.942  3.14 Talitha
 9.3762   34.285  3.14 alf Lyn
 9.5330  -57.145  3.14 N Vel
11.6158  -63.158  3.14 lam Cen
18.7869  -26.963  3.14 phi Sgr
 6.6421  -43.219  3.17 nu. Pup
17.1477   65.684  3.17 Aldhibah
 5.1087  -22.339  3.18 eps Lep
 5.1379   41.266  3.18 Haedus
 9.5753   51.562  3.18 tet UMa
17.2653   36.782  3.18 pi. Her
 4.8533    7.003  3.19 Tabit
14.7426  -65.082  3.19 alf Cir
15.3837  -40.736  3.19 del Lup
16.9809    9.338  3.20 kap Oph
15.0923  -25.379  3.21 Brachium
17.8593  -37.049  3.21 Fuyue
21.2334   30.330  3.21 zet Cyg
20.2099   -0.746  3.22 tet Aql
16.3274   -4.752  3.23 Yed Posterior
21.4829   70.671  3.23 Alfirk
 7.5004  -43.353  3.25 Hadir
18.3767   -2.890  3.25 eta Ser
18.9980   32.725  3.25 Sulafat
 3.7813  -74.162  3.26 gam Hyi
17.3925  -25.022  3.26 tet Oph
10.5486  -61.814  3.27 p Car
 0.6778   30.998  3.28 del And
 4.5757  -54.994  3.28 alf Dor
 6.2731   22.497  3.28 Propus 
14.1300  -26.802  3.28 pi. Hya
22.9329  -15.687  3.28 Skat 
 5.2343  -16.178  3.29 mu. Lep
15.4248   58.879  3.29 Edasich 
 1.1199  -46.585  3.30 bet Phe
 6.8074  -61.969  3.30 alf Pic
 7.8391  -24.924  3.30 Azmidi 
19.1416  -27.632  3.31 tau Sgr
12.2775   56.894  3.32 Megrez 
10.2388  -70.162  3.33 ome Car
17.2325  -43.270  3.33 eta Sco
17.4584  -56.398  3.34 gam Ara
18.0067   -9.775  3.34 nu. Oph
 5.4289   -2.376  3.35 eta Ori
10.2987  -61.458  3.35 q Car
11.2592   15.293  3.35 Chertan 
22.1954   58.325  3.35 zet Cep
 4.2459  -62.412  3.36 alf Ret
 6.7782   12.867  3.36 Alzirr 
19.4460    3.166  3.36 del Aql
 1.9370   63.792  3.37 Segin 
15.4065  -44.778  3.37 eps Lup
 8.8016    6.326  3.38 Ashlesha 
12.9477    3.262  3.38 Minelauva 
13.5995   -0.723  3.38 Heze 
 3.1131   38.935  3.39 Gorgonea Tertia
13.8502  -41.811  3.39 nu. Cen
 9.1938  -59.070  3.40 a Car
 1.4908  -43.191  3.41 gam Phe
 4.0345   12.559  3.41 lam Tau
 4.5016   15.924  3.41 Chamukuy 
10.1449   16.640  3.41 eta Leo
10.3013   23.292  3.41 Adhafera 
15.2349  -52.192  3.41 zet Lup
